acc,phylum,gap,baseline_correct,n_orfs
NC_002947.4,Proteobacteria,0.4459915440325908,True,47
NC_002947.4,Proteobacteria,4.49898691687756,True,2
NC_002947.4,Proteobacteria,2.646279104858702,True,12
NC_002947.4,Proteobacteria,0.8011142335396375,True,7
NC_002947.4,Proteobacteria,0.9859049841531977,True,28
NC_002947.4,Proteobacteria,0.05141474461864881,True,23
NC_002947.4,Proteobacteria,1.182151901308325,True,20
NC_002947.4,Proteobacteria,0.42496144829338434,True,12
NC_002947.4,Proteobacteria,0.9809617995786715,False,7
NC_002947.4,Proteobacteria,0.13876721861520558,False,23
NC_002947.4,Proteobacteria,0.5819263166680244,True,56
NC_002947.4,Proteobacteria,0.9618492083520387,True,17
NC_002947.4,Proteobacteria,1.2473929257520275,True,14
NC_002947.4,Proteobacteria,1.145381033353054,True,27
NC_002947.4,Proteobacteria,1.3671709117804518,True,44
NC_002947.4,Proteobacteria,0.3217937362909282,False,31
NC_002947.4,Proteobacteria,0.34710710410852386,True,11
NC_002947.4,Proteobacteria,1.5516970743154594,True,21
NC_002947.4,Proteobacteria,1002.2616238885163,True,1
NC_002947.4,Proteobacteria,0.4941788920420471,True,6
NC_002947.4,Proteobacteria,0.10882330643012139,False,14
NC_002947.4,Proteobacteria,0.6585982398975663,True,21
NC_002947.4,Proteobacteria,0.6804014962473914,True,17
NC_002947.4,Proteobacteria,1.5668679714147817,False,10
NC_002947.4,Proteobacteria,0.5682948886662391,True,27
NC_002947.4,Proteobacteria,0.9451649682421905,True,14
NC_002947.4,Proteobacteria,1.1156692434390085,True,2
NC_002947.4,Proteobacteria,0.6281568745082797,True,12
NC_002947.4,Proteobacteria,0.9166316276675275,True,46
NC_002947.4,Proteobacteria,0.42517253267797095,True,24
NC_002947.4,Proteobacteria,0.06943686311536013,False,55
NC_002947.4,Proteobacteria,0.2583212564142734,False,65
NC_002947.4,Proteobacteria,1.1792578247951688,True,17
NC_002947.4,Proteobacteria,0.9478207956630396,True,14
NC_002947.4,Proteobacteria,0.13166824336353233,True,5
NC_002947.4,Proteobacteria,1.862091388634843,True,5
NC_002947.4,Proteobacteria,0.7766627636754482,True,6
NC_002947.4,Proteobacteria,0.8891866066448717,True,17
NC_002947.4,Proteobacteria,0.6062258855324494,True,16
NC_002947.4,Proteobacteria,999.3428998629098,True,1
NC_002947.4,Proteobacteria,0.10592404531389121,True,40
NC_002947.4,Proteobacteria,0.9449739411806028,True,22
NC_002947.4,Proteobacteria,0.1933902761329218,False,23
NC_002947.4,Proteobacteria,1.6788234700183624,False,3
NC_002947.4,Proteobacteria,0.9269576397814192,True,2
NC_002947.4,Proteobacteria,0.7459148161544009,False,3
NC_002947.4,Proteobacteria,0.9081100552471053,True,22
NC_002947.4,Proteobacteria,0.599403601546646,True,12
NC_002947.4,Proteobacteria,1.2115364308607575,True,33
NC_002947.4,Proteobacteria,0.576012336438513,True,17
NC_002947.4,Proteobacteria,0.5631149201672248,True,11
NC_002947.4,Proteobacteria,0.657107304809923,True,15
NC_002947.4,Proteobacteria,0.36233789488340307,True,42
NC_002947.4,Proteobacteria,1.0294262591062768,True,27
NC_002947.4,Proteobacteria,0.42008545125769103,True,13
NC_002947.4,Proteobacteria,0.334088678757837,True,67
NC_002947.4,Proteobacteria,0.9149449277159896,True,24
NC_002947.4,Proteobacteria,0.41022389442488105,True,38
NC_002947.4,Proteobacteria,0.3530559849619461,False,22
NC_002947.4,Proteobacteria,1.2038646570763412,True,40
NC_002947.4,Proteobacteria,0.40852474597766,True,20
NC_002947.4,Proteobacteria,2.4520914529757647,True,11
NC_002947.4,Proteobacteria,1.0612588627836983,True,9
NC_002947.4,Proteobacteria,0.6585032086696465,True,21
NC_002947.4,Proteobacteria,0.6255117639097056,True,6
NC_002947.4,Proteobacteria,2.4466685305655123,True,4
NC_002947.4,Proteobacteria,2.247393274097905,True,2
NC_002947.4,Proteobacteria,3.6453789988180434,True,3
NC_002947.4,Proteobacteria,0.1894601747334992,True,5
NC_002947.4,Proteobacteria,1.8895814869074528,True,7
NC_002947.4,Proteobacteria,0.2863609821445907,False,2
NC_002947.4,Proteobacteria,0.9677217335524997,True,9
NC_002947.4,Proteobacteria,0.7706578523581511,True,4
