acc,label,phylum,f1,cls,stop_dist,fp_type,imm_down,codon_down,combined_down
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.15142749470772235,-0.2780869612054637,-0.21475722795659302
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.07881603068927727,-0.2123324093609007,-0.145574220025089
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.020883766926161465,-0.13396541547881996,-0.0774245912024907
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.11053354361488937,-0.17417921843397152,-0.14235638102443043
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.027851750854063086,-0.24373321287183458,-0.13579248186294884
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.026838956147151077,-0.20154733956487406,-0.11419314785601256
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.008476914981374033,-0.1873715620258885,-0.09792423850363127
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,0.008322090247257089,-0.0966959947783252,-0.044186952265534055
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,0.028216136707391114,-0.07102659350369792,-0.0214052283981534
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.045392616315823156,-0.2602352263636455,-0.15281392133973432
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,0.0489247864043764,-0.011186395269836424,0.018869195567269986
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.031735286355724666,-0.12387459248730366,-0.07780493942151416
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.07226299329159999,-0.2195315014610813,-0.14589724737634063
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,826,intergenic,-0.13420737792515994,-0.34967663012436034,-0.24194200402476013
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,0.008874261082773671,-0.17368778811903737,-0.08240676351813185
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.015284668415376738,-0.2053419472912516,-0.11031330785331417
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.06352040927734137,-0.2035818845754868,-0.13355114692641407
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,11,near,-0.1291423140021171,-0.2917443789018684,-0.21044334645199275
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,0.04622225771302032,-0.06970431900747301,-0.011741030647226345
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,0.06672855550062498,0.10615637048485951,0.08644246299274225
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.07706537011966148,-0.037947204826455305,-0.057506287473058394
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.12826707722881256,-0.19845934605990578,-0.16336321164435919
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.0072411807803995035,-0.13612647102771974,-0.07168382590405963
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.010784811019910735,-0.11851084427419423,-0.06464782764705249
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,0,TP,-0.053953252040404465,-0.0704730811170883,-0.062213166578746384
