acc,phylum,n_total,baseline_acc,acc_t0.0,contested_t0.0,acc_t0.5,contested_t0.5,acc_t1.0,contested_t1.0,acc_t1.5,contested_t1.5,acc_t2.0,contested_t2.0,acc_t3.0,contested_t3.0,acc_t5.0,contested_t5.0,acc_t999.0,contested_t999.0
NC_002947.4,Proteobacteria,3807,0.8838980824796427,0.8838980824796427,0.0,0.8505384817441555,0.33727344365642237,0.7972156553716837,0.655371683740478,0.7630680325715786,0.8240084055686893,0.7491463094299974,0.8928289992119779,0.7404780667192015,0.9422117152613606,0.7349619122668768,0.9642763330706593,0.734173890202259,0.9755713159968479
NC_002929.2,Proteobacteria,2506,0.7358339984038308,0.7358339984038308,0.0,0.664804469273743,0.42537909018355946,0.6001596169193935,0.7537909018355946,0.5662410215482842,0.8750997605746209,0.5566640063846767,0.918196328810854,0.547486033519553,0.9561053471667997,0.5434956105347167,0.9748603351955307,0.5403032721468476,0.9928172386272945
NC_003143.1,Proteobacteria,3531,0.8937977909940527,0.8937977909940527,0.0,0.8751062022090059,0.37439818748229964,0.8504672897196262,0.6610025488530161,0.8402718776550552,0.8147833474936279,0.8346077598414047,0.8680260549419427,0.8303596714811668,0.9088077032002265,0.8289436420277542,0.9487397337864628,0.827810818465024,0.9657320872274143
NC_003116.1,Proteobacteria,1504,0.8976063829787234,0.8976063829787234,0.0,0.8690159574468085,0.3025265957446808,0.8337765957446809,0.6043882978723404,0.8184840425531915,0.7726063829787234,0.8085106382978723,0.84375,0.7958776595744681,0.9089095744680851,0.793218085106383,0.9474734042553191,0.7872340425531915,0.9787234042553191
NC_004757.1,Proteobacteria,2230,0.8331838565022421,0.8331838565022421,0.0,0.7793721973094171,0.4044843049327354,0.7318385650224215,0.6695067264573991,0.7098654708520179,0.8116591928251121,0.6964125560538117,0.8717488789237668,0.6847533632286995,0.9228699551569507,0.6784753363228699,0.9457399103139014,0.6757847533632287,0.9618834080717489
NC_008497.1,Firmicutes,2025,0.9007407407407407,0.9007407407407407,0.0,0.92,0.2948148148148148,0.9101234567901234,0.577283950617284,0.905679012345679,0.7738271604938272,0.9041975308641975,0.8622222222222222,0.9027160493827161,0.9234567901234568,0.9027160493827161,0.9451851851851852,0.9022222222222223,0.9644444444444444
NC_004350.2,Firmicutes,1725,0.9356521739130435,0.9356521739130435,0.0,0.9153623188405797,0.2492753623188406,0.8869565217391304,0.5304347826086957,0.8805797101449275,0.7188405797101449,0.878840579710145,0.8220289855072463,0.8747826086956522,0.8956521739130435,0.8742028985507246,0.9385507246376812,0.8736231884057971,0.9542028985507246
NC_006270.3,Firmicutes,3734,0.8508302088912694,0.8508302088912694,0.0,0.8805570433851098,0.41456882699517944,0.8765399035886449,0.6946973754686663,0.8735940010712373,0.8296732726298875,0.8711837171933583,0.885645420460632,0.8695768612747724,0.9292983395822174,0.8693090519550081,0.9507230851633637,0.8690412426352437,0.9662560257096947
NC_006274.1,Firmicutes,4687,0.9088969490078942,0.9088969490078942,0.0,0.9159377000213356,0.32920844890121614,0.9059099637294645,0.601664177512268,0.898869212716023,0.747386387881374,0.8937486665244293,0.820780883294218,0.890975037337316,0.8888414764241519,0.8879880520588863,0.9317260507787497,0.8875613398762535,0.9558352890975037
NC_003030.1,Firmicutes,3385,0.9166912850812408,0.9166912850812408,0.0,0.9196454948301329,0.28360413589364847,0.8992614475627769,0.5651403249630724,0.8877400295420975,0.7202363367799114,0.8827178729689807,0.7967503692762186,0.876218611521418,0.8700147710487445,0.872082717872969,0.9178729689807976,0.8717872968980798,0.9503692762186116
NC_003155.5,Actinobacteria,5959,0.7420708172512166,0.7420708172512166,0.0,0.6997818425910388,0.44353079375734183,0.6378587011243497,0.7061587514683672,0.6042960228226213,0.8323544218828662,0.592716898808525,0.8848800134250713,0.5801308944453767,0.933378083571069,0.5727471052189965,0.9619063601275382,0.5695586507803323,0.9832186608491358
NC_003450.3,Actinobacteria,2349,0.844614729672201,0.844614729672201,0.0,0.7918263090676884,0.38058748403575987,0.7458492975734355,0.6355896126011068,0.7207322264793529,0.778203490847169,0.7066836951894423,0.848446147296722,0.6922094508301405,0.9127288207747978,0.6845466155810983,0.9480630055342699,0.6811409110259685,0.9642401021711366
NC_002677.1,Actinobacteria,1470,0.7074829931972789,0.7074829931972789,0.0,0.6687074829931973,0.5027210884353741,0.6210884353741497,0.7653061224489796,0.5925170068027211,0.8721088435374149,0.5829931972789115,0.9054421768707483,0.5761904761904761,0.9380952380952381,0.5714285714285714,0.9530612244897959,0.5714285714285714,0.9537414965986395
NC_008268.1,Actinobacteria,5161,0.7703933346250726,0.7703933346250726,0.0,0.6985080410773106,0.44584382871536526,0.6287541174191048,0.7271846541367952,0.5981398953691145,0.8558418911063748,0.5847703933346251,0.907769812051928,0.5731447393915908,0.9486533617515985,0.5673319124200736,0.9693857779500097,0.5655880643286185,0.9779112575082348
NC_006958.1,Actinobacteria,2291,0.8428633784373636,0.8428633784373636,0.0,0.7752073330423396,0.38542121344391095,0.7285028371890004,0.6490615451767787,0.706678306416412,0.7904845045831514,0.6922741161065037,0.8611959842863378,0.6809253601047578,0.9227411610650371,0.6739415102575295,0.9541684853775644,0.6717590571802706,0.9694456569183763
NC_008818.1,Archaea,1530,0.7098039215686275,0.7098039215686275,0.0,0.7366013071895425,0.4797385620915033,0.7287581699346405,0.7261437908496732,0.722875816993464,0.8169934640522876,0.7176470588235294,0.8607843137254902,0.7091503267973857,0.9111111111111111,0.7013071895424836,0.9464052287581699,0.7,0.9607843137254902
NC_015948.1,Archaea,2864,0.8051675977653632,0.8051675977653632,0.0,0.7014664804469274,0.3784916201117318,0.6009078212290503,0.6312849162011173,0.5485335195530726,0.755586592178771,0.5153631284916201,0.8208798882681564,0.482891061452514,0.8854748603351955,0.45286312849162014,0.9294692737430168,0.43435754189944137,0.9696229050279329
NC_014408.1,Archaea,1581,0.8197343453510436,0.8197343453510436,0.0,0.7956989247311828,0.46426312460468055,0.7602783048703352,0.7223276407337128,0.7450980392156863,0.8355471220746363,0.7394054395951929,0.8823529411764706,0.7305502846299811,0.9291587602783049,0.724225173940544,0.9601518026565465,0.7204301075268817,0.9759645793801391
NC_019977.1,Archaea,2062,0.8467507274490785,0.8467507274490785,0.0,0.8229873908826382,0.4180407371483996,0.7934044616876819,0.6954413191076625,0.7817652764306499,0.8108632395732299,0.7735208535402521,0.8734238603297769,0.7662463627546072,0.9243452958292919,0.7633365664403492,0.9500484966052376,0.7623666343355965,0.9636275460717749
NC_007644.1,Archaea,2244,0.8235294117647058,0.8235294117647058,0.0,0.8315508021390374,0.36853832442067735,0.8083778966131907,0.6283422459893048,0.7981283422459893,0.7762923351158645,0.7887700534759359,0.8467023172905526,0.7811942959001783,0.9019607843137255,0.7740641711229946,0.9411764705882353,0.7727272727272727,0.9656862745098039
